 767 120
+0 2 1
+54 23 16
+54-02954-451600 7 2
+54-11-4788-5400 2 1
+54-221-4233283 1 1
+54-221-4246062 2 2
+54-221-4252006 2 2
+54-221-4254904 1 1
+54-221-4257317 1 1
+54-2293-439850 2 1
+54-2652-424027 3 3
+54-2652-430224 3 3
+54-299-4490375 1 1
+542293439653 2 1
------------------0,50 1 1
--------------0,50 1 1
----------1,00 1 1
-00 1 1
-0379-4-426218 1 1
-0379-4-427589 1 1
-05 1 1
-08 4 1
-08-24 1 1
-09 2 2
-1 11 8
-1-01 2 1
-1-02 2 1
-1-04 1 1
-1-13 1 1
-1-14 1 1
-1-16 1 1
-1-18 1 1
-1-19 1 1
-1-257 2 1
-10 1 1
-10.30 1 1
-11 1 1
-11-5031-1111 1 1
-12 2 2
-123 1 1
-13 5 2
-15 3 2
-1531282-1 4 1
-16 1 1
-166332-1 1 1
-1877601-1 1 1
-192.168 1 1
-1997 2 1
-2 7 2
-2000 8 1
-2003 2 1
-2004 11 3
-2005 3 2
-2007 11 2
-2010 69 7
-2011 29 3
-2012 170 3
-2215256-3 5 1
-3 1 1
-3-155 1 1
-3-156 1 1
-3-171 1 1
-3-172 1 1
-3-173 1 1
-3-174 1 1
-3-175 1 1
-3-176 1 1
-358 1 1
-3684378-1 2 1
-388041-1 2 1
-4222146 1 1
-4230966-8 1 1
-493096 3 1
-62 1 1
-639347-1 1 1
-6947 1 1
-7 1 1
-784238-6 4 2
-890547-1 7 1
-9 1 1
-9006 1 1
0 144 38
0,217 1 1
0.1857 1 1
0.6 1 1
0.75 40 2
0.9 2 1
00 153 34
000 8 4
0001 1 1
0002 1 1
0002813 1 1
0003 1 1
0003724 1 1
0004 2 1
0005 1 1
0006 1 1
0006919 1 1
0007 1 1
0007269 1 1
0007489 1 1
0008 1 1
0009 1 1
0009531 1 1
0009744 1 1
001 2 2
0011627 1 1
0013 1 1
0014 2 1
0015 1 1
0016 2 2
0017 1 1
0018 1 1
0019 2 1
0020 2 1
0021 2 1
0022 1 1
0023 1 1
0024 1 1
0025 2 1
0026 1 1
0027 1 1
0028 1 1
0029 1 1
0033 1 1
0034 1 1
0038 1 1
0042 1 1
0048 1 1
0050 1 1
0051 1 1
0052 1 1
0053 1 1
0054 4 2
00546 1 1
