doc_id,posting_entries_size,doc_size_bytes
1,9352,158396
2,400,11888
3,568,15984
4,844,13316
5,3224,36680
6,1344,40856
7,7932,134097
8,1436,20504
9,1160,19999
10,464,9499
11,2080,24036
12,832,23902
13,500,16597
14,916,15482
15,1920,33999
16,608,22920
17,520,10157
18,1204,13877
19,976,30506
20,676,11526
21,1928,40854
22,1092,16942
23,464,13610
24,456,12221
25,1136,17336
26,636,17099
27,544,11351
28,1104,32913
29,912,15119
30,432,9249
31,1256,28365
32,996,28739
33,456,9451
34,8804,308486
35,812,27795
36,592,9859
37,1852,27792
38,3236,56168
39,860,14428
40,1448,24727
41,488,12465
42,1272,17573
43,496,15876
44,588,15917
45,400,9056
46,1496,23671
47,2236,69930
48,2920,50833
49,692,14929
50,1076,13629
51,540,11372
52,584,12029
53,2184,41289
54,836,12305
55,392,9559
56,1064,21931
57,640,14312
58,716,16928
59,1032,14724
60,572,14105
61,1060,29017
62,500,12847
63,700,12416
64,1372,12525
65,364,9541
66,656,11583
67,456,11442
68,3588,63366
69,1172,16040
70,480,10682
71,596,11155
72,516,15251
73,576,14421
74,532,10611
75,916,22567
76,1392,38366
77,1692,36610
78,1176,43407
79,744,11243
80,1124,16713
81,2024,26398
82,788,19936
83,1044,28006
84,932,24149
85,460,13355
86,760,18896
87,672,18860
88,1736,37391
89,576,12352
90,688,13512
91,2076,78365
92,932,16613
93,904,17699
94,1900,42507
95,2132,51738
96,1312,46541
97,1228,28707
98,816,25145
99,808,19048
100,3440,44319
101,968,15683
102,2288,70908
103,568,14277
104,1156,44152
105,476,9498
106,1384,36855
107,744,21611
108,604,22952
109,852,21158
110,420,12157
111,4284,74914
112,5516,124256
113,616,12412
114,1028,26830
115,1276,16701
116,604,13809
117,1076,17594
118,1380,38385
119,1504,19815
120,5564,100216
121,696,13402
122,648,12495
123,752,13389
124,492,11310
125,1952,46632
126,3160,46747
127,1752,26216
128,1612,42711
129,1220,21901
130,1520,36327
131,760,23849
132,2020,41015
133,748,12363
134,680,17509
135,680,11948
136,1760,20203
137,1448,17645
138,1088,17346
139,512,11299
140,408,9141
141,896,16771
142,540,12038
143,1372,14939
144,512,14992
145,892,19971
146,3528,104465
147,2096,81339
148,2744,35774
149,2944,36129
150,1092,16673
151,2236,37016
152,772,12362
153,660,12684
154,1176,22297
155,1076,31430
156,804,14366
157,884,17101
158,788,14384
159,4620,64014
160,536,12151
161,1900,27063
162,1948,29462
163,1596,53120
164,436,9536
165,804,14759
166,456,11090
167,624,18765
168,1292,18573
169,400,9513
170,468,9246
171,3188,44282
172,928,23043
173,1032,27714
174,4636,72325
175,472,10115
176,2752,37821
177,1936,19886
178,1184,24899
179,1532,17455
180,796,19284
181,436,10635
182,452,9904
183,936,19505
184,684,11394
185,844,14042
186,696,14997
187,560,11214
188,1224,27123
189,1156,18028
190,1636,17493
191,1184,24492
192,540,11499
193,1012,26083
194,2232,20493
195,416,9464
196,628,12203
197,424,10147
198,616,11664
199,1044,27516
200,864,22675
201,1964,29798
202,1176,26360
203,992,16587
204,1156,17023
205,1356,25425
206,3648,33336
207,7180,156756
208,2468,28668
209,828,14771
210,648,12175
211,532,13999
212,1588,41671
213,724,15740
214,624,25728
215,680,13311
216,1132,33963
217,576,15382
218,1724,23305
219,5156,97947
220,388,9871
221,708,14477
222,1296,15008
223,2360,37255
224,2956,50158
225,712,15870
226,996,15854
227,2088,18358
228,408,11649
229,872,13708
230,692,15755
231,2320,55775
232,1352,19155
