posting_list_size,frequency
1600,1
2000,1
6000,1
8000,1
16000,1
40000,1
460,1
704,1
644,1
700,1
8,108
1296,1
2776,1
17624,1
4800,1
444,1
108,3
17576,1
17688,1
17764,1
17732,1
17420,1
12800,1
124,1
1508,1
5200,2
4400,1
8800,1
340,1
1008,1
708,1
420,1
132,1
2800,1
1156,1
3200,1
3600,1
5600,1
580,2
1032,1
52,10
968,1
736,1
452,1
796,1
820,1
864,1
844,1
684,1
2400,1
1044,1
552,1
772,2
1412,1
56,5
356,1
384,1
1624,1
76,4
1020,1
1132,1
1344,1
1424,1
80,4
252,2
676,1
16,28
964,1
532,1
344,1
64,5
952,1
496,1
536,1
568,1
632,1
248,1
1200,1
280,1
668,1
1280,1
4000,1
104,2
600,1
28,3
1444,1
588,2
480,1
304,1
740,1
1352,1
800,1
664,2
4,297
1520,1
284,1
544,1
24,18
12,55
576,1
44,3
752,1
404,1
1724,2
144,2
220,2
1072,1
324,1
212,1
232,1
376,1
924,1
40,13
96,2
428,1
556,1
88,4
468,1
180,1
328,1
152,2
660,1
20,14
424,1
776,1
388,1
36,4
508,1
48,6
352,1
32,8
72,5
512,1
372,2
156,1
184,1
92,2
68,1
