"id";"url";"l_depth";"p_depth";"dynamic"
"0";"http://www.amazon.com";"0";"2";"False"
"1";"http://www.amazon.com//s?k=gaming+action+figures&i=toys-and-games-intl-ship&ref=nb_sb_noss_2";"1";"4";"True"
"2";"http://www.amazon.com//s?k=activity+trackers+and+smartwatches&ref=nb_sb_noss";"1";"4";"True"
"3";"http://www.amazon.com//s?k=toys&s=date-desc-rank&qid=1632870778&ref=sr_st_date-desc-rank";"1";"4";"True"
"4";"http://www.amazon.com//b?node=16225009011";"1";"4";"True"
"5";"http://www.amazon.com//s?k=gaming+chairs&ref=nb_sb_noss";"1";"4";"True"
"6";"http://www.amazon.com//s?k=pet+supplies&s=date-desc-rank&crid=3IF5TSVMY5YRB&qid=1632868254&sprefix=pet+sup%2Caps%2C268&ref=sr_st_date-desc-rank";"1";"4";"True"
"7";"http://www.amazon.com//s?k=gaming+keyboard&ref=nb_sb_noss_1";"1";"4";"True"
"8";"http://www.amazon.com//s?k=work+from+home+fitness&ref=nb_sb_noss_1";"1";"4";"True"
"9";"http://www.amazon.com//b?node=16225005011";"1";"4";"True"
"10";"https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3F_encoding%3DUTF8%26ref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&";"1";"4";"True"
"11";"http://www.amazon.com//s?k=gaming+apparel&ref=nb_sb_noss";"1";"4";"True"
"12";"https://www.amazon.com/ir";"1";"3";"False"
"13";"http://www.amazon.com//s?k=gaming+headsets&ref=nb_sb_noss_2";"1";"4";"True"
"14";"http://www.amazon.com//s?bbn=16225007011&rh=n%3A16225007011%2Cn%3A13896617011&dc&fst=as%3Aoff&qid=1602294815&rnid=16225007011";"1";"4";"True"
"15";"http://www.amazon.com//b?node=23508887011";"1";"4";"True"
